iter	Logloss
191	0.1917347791
192	0.1916991587
193	0.1916528608
194	0.1916039122
195	0.1915706757
196	0.191546086
197	0.1914481886
198	0.1913612067
199	0.1911832027
200	0.1911528322
201	0.191077856
202	0.1910326382
203	0.1910097009
204	0.1909793782
205	0.19086474
206	0.1908337728
207	0.190812077
208	0.1907816391
209	0.1907438972
210	0.1907209485
211	0.1906921883
212	0.1906740977
213	0.1906513536
214	0.1906238619
215	0.1905989024
216	0.1905796579
217	0.1905150252
218	0.1904918261
219	0.1904426846
220	0.1904113722
221	0.190390796
222	0.190364997
223	0.1903474245
224	0.1902506374
225	0.1902026921
226	0.190111491
227	0.190085277
228	0.1900654069
229	0.1900438622
230	0.189998987
231	0.1899637319
232	0.1899401226
233	0.1899151161
234	0.1898515691
235	0.189827006
236	0.1898119426
237	0.1897842877
238	0.1897307778
239	0.1897089956
240	0.1896816547
241	0.1896627325
242	0.1896053802
243	0.1895817572
244	0.1895598297
245	0.1895461008
246	0.1895241869
247	0.1894918717
248	0.1894675875
249	0.18944934
250	0.1894288254
251	0.1894063168
252	0.1893874862
253	0.189329168
254	0.1893126384
255	0.1892813791
256	0.1892663544
257	0.1892417459
258	0.1892305483
259	0.1892015794
260	0.1891529292
261	0.1891366701
262	0.1891226619
263	0.1891052007
264	0.1890843703
265	0.1890502647
266	0.1890179291
267	0.1889917533
268	0.1889705216
269	0.1888950441
270	0.1888716163
271	0.188853342
272	0.1888321519
273	0.1888063552
274	0.1887893813
275	0.1887702909
276	0.1887437403
277	0.1887244876
278	0.1887000849
279	0.1886731721
280	0.1886551556
281	0.1886226417
282	0.1886016637
283	0.1885797726
284	0.1885572037
285	0.1885366329
286	0.1885107339
287	0.1883951251
288	0.1882745665
289	0.1882471942
290	0.1881431249
291	0.1881080717
292	0.1880770305
293	0.1880605706
294	0.1880382641
295	0.1880021511
296	0.1879838306
297	0.1879555226
298	0.1879415786
299	0.187897292
300	0.1878786416
301	0.1878479229
302	0.1877823684
303	0.1877649027
304	0.1877297197
305	0.1877024159
306	0.1876813546
307	0.1876593275
308	0.1876328581
309	0.1876104645
310	0.1875885604
311	0.1875612381
312	0.187546388
313	0.1874647708
314	0.1874435058
315	0.1874243818
316	0.1874042493
317	0.187376861
318	0.1873551981
319	0.1873358519
320	0.1873136034
321	0.1872445023
322	0.1872164589
323	0.1872009971
324	0.1871770593
325	0.1871590431
326	0.1870934281
327	0.1870785734
328	0.1870559566
329	0.1870332325
330	0.1870177132
331	0.1870043053
332	0.1869688629
333	0.1869515667
334	0.1868890147
335	0.1868670109
336	0.1868441971
337	0.1868298977
338	0.1868058098
339	0.1867924
340	0.1867665324
341	0.186751799
342	0.1866953265
343	0.1866789103
344	0.1866610197
345	0.186646894
346	0.1866339151
347	0.1865480902
348	0.1865328809
349	0.1865143331
350	0.1864991991
351	0.1864783882
352	0.186452443
353	0.1864386193
354	0.1864144567
355	0.1863946025
356	0.1863364921
357	0.1863155012
358	0.1862993221
359	0.1862816689
360	0.1862519875
361	0.186191755
362	0.1861717608
363	0.1860901773
364	0.1860788285
365	0.186055172
366	0.1860310748
367	0.1860128228
368	0.1859922596
369	0.1859703384
370	0.1859524481
371	0.1859233609
372	0.1859006624
373	0.1858810205
374	0.1858569466
375	0.1858458537
376	0.1858266202
377	0.1858069349
378	0.1857901447
379	0.1857712038
380	0.1857516136
381	0.1857304436
382	0.1857066626
383	0.1855713771
384	0.185535005
385	0.1855132652
386	0.1854947664
387	0.1854737883
388	0.1854518853
389	0.185426223
390	0.1854122761
391	0.1853927562
392	0.1853757899
393	0.185359821
394	0.1853350401
395	0.1853231332
396	0.1853050063
397	0.1852812277
398	0.1852674269
399	0.1852545185
400	0.1852318121
401	0.1852162171
402	0.1851973846
403	0.1851839856
404	0.1851574232
405	0.1851322055
406	0.1851203255
407	0.1850982309
408	0.1850747493
409	0.185053119
410	0.1850303738
411	0.1850055046
412	0.1849954534
413	0.1849671907
414	0.1849503787
415	0.1849359511
416	0.1849148764
417	0.1848972611
418	0.1848802831
419	0.1848240468
420	0.1848137355
421	0.184789454
422	0.1847710335
423	0.184755697
424	0.1847324789
425	0.1847113071
426	0.1846934164
427	0.184674436
428	0.1846603976
429	0.1846171578
430	0.1846018761
431	0.1845760856
432	0.1845578947
433	0.1845410277
434	0.1845246953
435	0.1844988759
436	0.184449917
437	0.1844305375
438	0.1844080817
439	0.1843942236
440	0.1843761728
441	0.1843604381
442	0.1843418147
443	0.1843262956
444	0.1843093711
445	0.1842852279
446	0.1842605318
447	0.1842401829
448	0.1842205796
449	0.1842053707
450	0.1841465435
451	0.184132295
452	0.1841006469
453	0.1840695239
454	0.1840437272
455	0.1840310222
456	0.1840097371
457	0.1839915909
458	0.1839765462
459	0.1839604357
460	0.1839449184
461	0.1839282257
462	0.1839116377
463	0.183893924
464	0.1838757561
465	0.1838570807
466	0.1838416366
467	0.1838177539
468	0.1837939356
469	0.1837706377
470	0.1837489787
471	0.1837313312
472	0.183712143
473	0.1836983813
474	0.1836784821
475	0.1836534389
476	0.1836353132
477	0.1836227511
478	0.1836031382
479	0.183568528
480	0.1835554951
481	0.1835393942
482	0.183513225
483	0.1834907362
484	0.1834716145
485	0.1834555158
486	0.1834355802
487	0.1834176751
488	0.183399911
489	0.1833782271
490	0.1833630107
491	0.1833491497
492	0.183335475
493	0.1833135703
494	0.1832902308
495	0.1832735384
496	0.1832586951
497	0.1832393835
498	0.1832227364
499	0.1832063629
500	0.1831829636
501	0.183167478
502	0.1831481932
503	0.1831286921
504	0.1831105727
505	0.1830958564
506	0.1830823143
507	0.1830646066
508	0.1830143321
509	0.1829980769
510	0.1829745432
511	0.1829569323
512	0.1829429879
513	0.1829217671
514	0.1828518251
515	0.1828354142
516	0.1828134108
517	0.1827886205
518	0.1827629227
519	0.1827446595
520	0.1827255893
521	0.1827025011
522	0.1826818934
523	0.1826659696
524	0.182644836
525	0.1826291527
526	0.1826142947
527	0.1825910948
528	0.1825769743
529	0.1825618086
530	0.1825461591
531	0.1825300294
532	0.1824882683
533	0.1824621358
534	0.1824478724
535	0.1824258917
536	0.1824087503
537	0.1823898509
538	0.1823774168
539	0.1823589839
540	0.1823447967
541	0.1823299766
542	0.1823096111
543	0.1822811885
544	0.1822642612
545	0.1822467607
546	0.1822312011
547	0.1822131887
548	0.1821954341
549	0.1821436756
550	0.1821244032
551	0.1821005958
552	0.1820857143
553	0.1820691627
554	0.1820516098
555	0.1820286891
556	0.1820130552
557	0.1819974623
558	0.1819815601
559	0.1819683971
560	0.1819555806
561	0.1819426284
562	0.1819254502
563	0.1819066324
564	0.1818935489
565	0.1818749502
566	0.1818611399
567	0.1818438819
568	0.1818211678
569	0.1818033171
570	0.1817862612
571	0.1817437074
572	0.1817251573
573	0.1817094324
574	0.1816890949
575	0.181677147
576	0.181653895
577	0.1816317416
578	0.1816106077
579	0.1815834689
580	0.1815707786
581	0.1815517363
582	0.1815404332
583	0.1815236159
584	0.1815063264
585	0.1814811284
586	0.1814648846
587	0.1814515982
588	0.1814339256
589	0.1814156978
590	0.1814035907
591	0.1813888067
592	0.1813682761
593	0.1813512199
594	0.1813294
595	0.1813113631
596	0.1812970318
597	0.1812800517
598	0.1812628595
599	0.181243979
600	0.1812260183
601	0.1811980625
602	0.181182472
603	0.1811628561
604	0.1811507146
605	0.1811384796
606	0.1811189271
607	0.1811027505
608	0.1810840001
609	0.1810684762
610	0.1810535707
611	0.1810335758
612	0.1810141263
613	0.1809931189
614	0.1809791375
615	0.1809628567
616	0.1809435226
617	0.180932133
618	0.1809161443
619	0.1808947905
620	0.1808761997
621	0.180860115
622	0.1808482431
623	0.1808244321
624	0.1808005675
625	0.1807807416
626	0.1807663605
627	0.1807550694
628	0.1807352449
629	0.1807136556
630	0.1806964004
631	0.1806874992
632	0.1806767298
633	0.1806583946
634	0.1806207042
635	0.1806092393
636	0.1805919021
637	0.1805778673
638	0.1805656379
639	0.1805467892
640	0.1805313236
641	0.1805097671
642	0.1804904507
643	0.1804751555
644	0.1804550325
645	0.1804416273
646	0.1804211894
647	0.1804050522
648	0.1803866615
649	0.1803561065
650	0.1803373764
651	0.1803229685
652	0.1803065695
653	0.1802887218
654	0.1802700384
655	0.180244807
656	0.1802266061
657	0.1801906652
658	0.1801695657
659	0.1801552398
660	0.1801386494
661	0.1801103923
662	0.1800976377
663	0.1800834544
664	0.1800641893
665	0.1800493772
666	0.1800215973
667	0.1800052871
668	0.1799934908
669	0.1799782563
670	0.1799632582
671	0.1799507228
672	0.1799325748
673	0.1799123172
674	0.1798937763
675	0.1798793691
676	0.1798669493
677	0.1798519817
678	0.1798357491
679	0.1798255311
680	0.1798101582
681	0.1797951827
682	0.179781332
683	0.1797675228
684	0.1797513649
685	0.1797338671
686	0.1797191689
687	0.1797012561
688	0.1796877912
689	0.1796687456
690	0.17964899
691	0.1796295619
692	0.1796159999
693	0.1795986313
694	0.1795805555
695	0.1795652725
696	0.1795514669
697	0.1795368237
698	0.1795205884
699	0.1795060981
700	0.1794866753
701	0.1794647219
702	0.1794460725
703	0.1794328602
704	0.1794095709
705	0.1793958493
706	0.179381356
707	0.1793673704
708	0.1793501879
709	0.1793321767
710	0.1793164244
711	0.1792979236
712	0.1792774743
713	0.1792631655
714	0.1792453484
715	0.1792301918
716	0.1792077565
717	0.1791887721
718	0.1791619779
719	0.1791445593
720	0.1791258895
721	0.1791081976
722	0.1790908076
723	0.1790742
724	0.1790525167
725	0.1790322126
726	0.1790164549
727	0.1790009127
728	0.1789874731
729	0.178965443
730	0.1789451966
731	0.1789318971
732	0.1789137807
733	0.1789023303
734	0.1788878996
735	0.178874642
736	0.1788565957
737	0.1788475713
738	0.1788247091
739	0.1788082461
740	0.178792856
741	0.178776045
742	0.1787620975
743	0.1787435901
744	0.1787209646
745	0.178701765
746	0.1786841948
747	0.1786666248
748	0.1786508005
749	0.1786399792
750	0.1786220048
751	0.1786039762
752	0.1785855701
753	0.1785691629
754	0.1785547795
755	0.1785403191
756	0.1785277807
757	0.1785138609
758	0.1784963526
759	0.1784833856
760	0.1784621864
761	0.1784460527
762	0.1784297342
763	0.1784151547
764	0.1784054272
765	0.1783891882
766	0.1783724528
767	0.1783504785
768	0.1783350627
769	0.1783211994
770	0.178306083
771	0.178282808
772	0.1782596063
773	0.1782442216
774	0.1782284399
775	0.1782140835
776	0.1782032322
777	0.1781905619
778	0.178172071
779	0.1781525408
780	0.1781386448
781	0.1781247419
782	0.1781115049
783	0.1780940066
784	0.1780757921
785	0.178059368
786	0.1779913236
787	0.1779488231
788	0.1779304671
789	0.1779146069
790	0.177905116
791	0.1778844043
792	0.177867002
793	0.1778556504
794	0.1778401076
795	0.1778247676
796	0.1778090546
797	0.1777967274
798	0.1777832509
799	0.1777673154
800	0.1777530249
801	0.1777403655
802	0.1777248354
803	0.1777077768
804	0.1776888076
805	0.1776740598
806	0.177659258
807	0.1776442302
808	0.1776283657
809	0.1776150863
810	0.1775524298
811	0.1775417383
812	0.1775262562
813	0.1775079107
814	0.1774953782
815	0.1774817615
816	0.1774679396
817	0.1774545211
818	0.1773998512
819	0.1773879501
820	0.1773597455
821	0.1773223629
822	0.1773053618
823	0.1772935675
824	0.1772687051
825	0.1772557151
826	0.1772360397
827	0.1772208984
828	0.1772067095
829	0.1771831614
830	0.177166867
831	0.1771534409
832	0.1771311769
833	0.1771115709
834	0.1770920209
835	0.1770786007
836	0.1770672075
837	0.1770539217
838	0.1770434373
839	0.1770308731
840	0.1770132959
841	0.1769773177
842	0.1769630021
843	0.1769287742
844	0.1769161832
845	0.1768965905
846	0.1768779282
847	0.1768614832
848	0.1768466161
849	0.1767990829
850	0.1767798444
851	0.1767629791
852	0.1767507901
853	0.1767385742
854	0.1767275129
855	0.1767098678
856	0.1766918643
857	0.1766753663
858	0.1766640284
859	0.1766557182
860	0.1766413473
861	0.1766233707
862	0.1766038697
863	0.1765051779
864	0.1764652625
865	0.1764474538
866	0.1764241605
867	0.1764044687
868	0.1763873646
869	0.1763682585
870	0.1763548238
871	0.1763385472
872	0.1763191429
873	0.1763058511
874	0.1762921021
875	0.1762737335
876	0.1762590933
877	0.1762391086
878	0.1762291008
879	0.1762148045
880	0.1761982597
881	0.1761768138
882	0.1761528812
883	0.1761371692
884	0.1761157143
885	0.176104708
886	0.1760967429
887	0.1760815275
888	0.1760711492
889	0.1760565034
890	0.1760419565
891	0.1760291573
892	0.1760117888
893	0.1760011434
894	0.1759836681
895	0.175972411
896	0.1759575991
897	0.1759412571
898	0.1759256364
899	0.1759086637
900	0.1758808505
901	0.1758651731
902	0.1758479933
903	0.1758346107
904	0.1758204639
905	0.1758092109
906	0.1757956006
907	0.1757780818
908	0.1757639608
909	0.175750837
910	0.1757364867
911	0.1757228819
912	0.1757046824
913	0.1756898463
914	0.1756748223
915	0.1756598036
916	0.1756452228
917	0.175631723
918	0.1756204943
919	0.1756032321
920	0.1755890152
921	0.1755721527
922	0.1755618931
923	0.1755482446
924	0.175532736
925	0.1755181562
926	0.1754982266
927	0.1754823868
928	0.175465404
929	0.1754537988
930	0.1754397823
931	0.1754287834
932	0.1754126344
933	0.1753641643
934	0.1753463977
935	0.1753313174
936	0.1753107605
937	0.1752969837
938	0.1752805289
939	0.1752647164
940	0.1752573487
941	0.1752422563
942	0.1752295329
943	0.175206625
944	0.17519992
945	0.1751808957
946	0.1751667979
947	0.1751523708
948	0.1751365303
949	0.1751221034
950	0.1751032251
951	0.1750826092
952	0.1750625623
953	0.1750489114
954	0.175040083
955	0.1750239081
956	0.1750011815
957	0.1749819485
958	0.1749663904
959	0.1749490871
960	0.174940529
961	0.1749259641
962	0.1749117904
963	0.174900094
964	0.1748840458
965	0.1748696155
966	0.1748530996
967	0.1748350106
968	0.1748192402
969	0.1748063516
970	0.1747953032
971	0.1747805546
972	0.1747684038
973	0.1747014776
974	0.1746849183
975	0.1746675794
976	0.1746487983
977	0.1746362786
978	0.1746217122
979	0.1746081347
980	0.1745902477
981	0.1745771821
982	0.1745634723
983	0.1745468526
984	0.1745306287
985	0.1745194379
986	0.1745056829
987	0.1744925499
988	0.1744767703
989	0.1744646007
990	0.1744500258
991	0.1744394733
992	0.1744231767
993	0.1744105858
994	0.1743905664
995	0.1743647517
996	0.1743528518
997	0.1743378741
998	0.1743208882
999	0.1743017817
